t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684711861,2954,2422,12.970817,0,141.312980,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684711891,3006,2422,12.959144,0,141.313322,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684711921,3032,2422,12.962062,0,141.313168,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684711951,3084,2422,12.940661,0,141.314552,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684711981,3110,2422,12.927043,0,141.315462,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684712011,3162,2422,12.908560,0,141.316661,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684712041,3188,2422,12.914397,0,141.316375,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684712071,3240,2422,12.898833,0,141.317199,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684712101,3266,2422,12.900778,0,141.317035,1.000000,3.000000,12.000000,22.000000,44.550000,2419.129000
1684712131,3318,2422,10.922179,0,126.527149,1.000000,3.000000,12.000000,20.840000,41.000000,2419.129000
1684712161,3344,2422,10.904669,0,126.527653,1.000000,3.000000,12.000000,20.840000,41.000000,2419.129000
1684712191,3396,2422,10.883268,0,126.528320,1.000000,3.000000,12.000000,20.840000,41.000000,2419.129000
1684712221,3422,2422,8.614786,0,103.918970,1.000000,3.000000,12.000000,19.420000,38.970000,2414.837000
1684712251,3474,2422,8.612840,0,103.919122,1.000000,3.000000,12.000000,19.420000,38.970000,2414.837000
1684712281,3500,2422,8.620623,0,103.918579,1.000000,3.000000,12.000000,19.420000,38.970000,2414.837000
1684712311,3552,2422,8.616732,0,103.918865,1.000000,3.000000,12.000000,19.420000,38.970000,2414.837000
1684712341,3578,2422,8.607977,0,103.919080,1.000000,3.000000,12.000000,19.420000,38.970000,2414.837000
1684712371,3630,2422,6.472763,0,78.898664,1.000000,3.000000,12.000000,18.420000,33.710000,2366.900000
1684712401,3656,2422,6.469844,0,78.898898,1.000000,3.000000,12.000000,18.420000,33.710000,2366.900000
1684712431,3708,2422,6.428016,0,78.899216,1.000000,3.000000,11.550000,18.420000,33.710000,2366.900000
1684712461,3734,2422,6.415370,0,78.899401,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712491,3786,2422,6.386187,0,78.899957,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712521,3812,2422,6.377432,0,78.900265,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712551,3864,2422,6.393969,0,78.899573,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712581,3890,2422,6.395914,0,78.899563,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712611,3942,2422,6.386187,0,78.900031,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712641,3968,2422,6.379377,0,78.900342,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712671,4020,2422,6.364786,0,78.899664,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712701,4046,2422,6.364786,0,78.899775,1.000000,3.000000,11.000000,18.420000,33.710000,2366.900000
1684712731,4098,2422,5.785019,0,77.236441,1.000000,3.000000,11.000000,18.000000,31.550000,2364.725000
1684712761,4124,2422,5.771401,0,77.236301,1.000000,3.000000,11.000000,18.000000,31.550000,2364.725000
1684712791,4176,2422,5.757782,0,77.236915,1.000000,3.000000,11.000000,18.000000,31.550000,2364.725000
1684712821,4202,2422,5.732490,0,77.234852,1.000000,3.000000,11.000000,17.420000,31.550000,2364.725000
1684712852,4254,2422,5.663424,0,77.233945,1.000000,3.000000,10.550000,17.000000,31.550000,2364.725000
1684712882,4280,2422,5.661479,0,77.234076,1.000000,3.000000,10.550000,17.000000,31.550000,2364.725000
1684712912,4332,2422,5.646887,0,77.234659,1.000000,3.000000,10.550000,17.000000,31.550000,2364.725000
1684712942,4358,447,3.283074,0,16.565489,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684712972,4410,447,3.256809,0,16.563948,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684713002,4436,447,3.249027,0,16.563832,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684713032,4488,447,3.228599,0,16.563568,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684713062,4514,447,3.223735,0,16.564252,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684713092,4566,447,3.218872,0,16.563641,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684713122,4592,447,3.212062,0,16.563582,1.000000,3.000000,10.000000,16.420000,26.550000,440.446000
1684713152,4644,447,3.184825,0,16.539790,1.000000,3.000000,10.000000,16.000000,23.000000,440.446000
1684713182,4670,447,3.060311,0,16.058749,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713212,4722,447,3.060311,0,16.058809,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713242,4750,447,3.069066,0,16.059774,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713272,4802,447,3.060311,0,16.060689,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713302,4828,447,3.075875,0,16.064321,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713332,4880,447,3.079767,0,16.064059,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713362,4906,447,3.069066,0,16.063594,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713392,4958,447,3.047665,0,16.064702,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713422,4984,447,3.051556,0,16.064751,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713452,5036,447,3.036965,0,16.062639,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713482,5062,447,3.027237,0,16.063568,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713512,5113,447,3.007782,0,16.061952,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713542,5140,447,2.994163,0,16.061226,1.000000,3.000000,10.000000,16.000000,22.710000,440.446000
1684713572,5188,447,2.974708,0,16.056780,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713602,5218,447,2.970817,0,16.057320,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
